   DATE       TIME    MULTI   C0%   CKMOD  BAT_mW  TEMP    VID   POWER
2021-01-09  16:45:54  32.54   68.8  100.0       0   66   1.0576   19.4   PL2
2021-01-09  16:45:54  31.80   71.0  100.0       0   66   0.9526   20.2   PL2
2021-01-09  16:45:55  32.72   66.4  100.0       0   65   1.1375   20.2   PL2
2021-01-09  16:45:55  32.73   66.6  100.0       0   65   1.1523   19.6   PL2
2021-01-09  16:45:55  32.57   69.4  100.0       0   65   1.0172   20.5   PL2
2021-01-09  16:45:55  31.72   73.4  100.0       0   65   1.1700   19.6   PL2
2021-01-09  16:45:55  33.07   66.9  100.0       0   66   1.0289   20.0   PL2
2021-01-09  16:45:55  32.04   72.0  100.0       0   66   0.9722   20.3   PL2
2021-01-09  16:45:55  32.24   71.4  100.0       0   65   1.1697   19.9   PL2
2021-01-09  16:45:55  32.30   71.3  100.0       0   65   1.0315   20.0   PL2
2021-01-09  16:45:56  32.07   72.8  100.0       0   64   1.0070   19.8   PL2
2021-01-09  16:45:56  32.16   69.9  100.0       0   66   0.9908   19.5   PL2
2021-01-09  16:45:56  31.93   71.3  100.0       0   65   1.1259   20.1   PL2
2021-01-09  16:45:56  32.09   71.3  100.0       0   66   1.0736   19.8   PL2
2021-01-09  16:45:56  32.58   65.9  100.0       0   64   1.0491   20.0   PL2
2021-01-09  16:45:56  32.44   67.7  100.0       0   66   0.9938   20.1   PL2
2021-01-09  16:45:56  32.30   68.6  100.0       0   66   1.2701   20.3   PL2
2021-01-09  16:45:56  31.70   76.1  100.0       0   65   1.2310   19.8   PL2
2021-01-09  16:45:57  32.76   66.8  100.0       0   65   1.0455   19.7   PL2
2021-01-09  16:45:57  32.33   69.0  100.0       0   65   0.9825   20.0   PL2
2021-01-09  16:45:57  32.20   70.8  100.0       0   67   0.8636   20.3   PL2
2021-01-09  16:45:57  31.93   72.0  100.0       0   66   1.0277   19.4   PL2
2021-01-09  16:45:57  32.39   68.2  100.0       0   66   0.9774   20.0   PL2
2021-01-09  16:45:57  32.12   71.6  100.0       0   66   0.9695   20.0   PL2
2021-01-09  16:45:57  32.08   68.5  100.0       0   66   1.0027   20.6   PL2
2021-01-09  16:45:57  31.23   75.2  100.0       0   67   0.9025   19.5   PL2
2021-01-09  16:45:58  31.06   78.0  100.0       0   66   1.0105   20.4   PL2
2021-01-09  16:45:58  32.10   70.9  100.0       0   66   1.2213   19.9   PL2
2021-01-09  16:45:58  31.15   78.7  100.0       0   65   0.8834   20.1   PL2
2021-01-09  16:45:58  31.62   75.3  100.0       0   67   1.0593   19.6   PL2
2021-01-09  16:45:58  32.83   65.7  100.0       0   66   0.9204   19.7   PL2
2021-01-09  16:45:58  34.82   65.9  100.0       0   66   1.0811   22.9   PL2
2021-01-09  16:45:58  32.61   67.4  100.0       0   66   1.0023   19.6   PL2
2021-01-09  16:45:58  32.31   71.0  100.0       0   65   1.0370   20.0   PL2
2021-01-09  16:45:59  32.90   67.6  100.0       0   65   1.0300   20.0   PL2
2021-01-09  16:45:59  32.54   67.9  100.0       0   65   0.9369   20.5   PL2
2021-01-09  16:45:59  32.37   69.0  100.0       0   65   0.9266   19.8   PL2
2021-01-09  16:45:59  32.33   70.9  100.0       0   66   0.9762   19.8   PL2
2021-01-09  16:45:59  32.90   65.5  100.0       0   65   1.0187   20.3   PL2
2021-01-09  16:45:59  32.10   71.6  100.0       0   66   0.9993   19.7   PL2
2021-01-09  16:45:59  31.79   72.8  100.0       0   65   1.0614   19.6   PL2
2021-01-09  16:45:59  32.15   73.3  100.0       0   65   1.0513   20.5   PL2
2021-01-09  16:46:00  31.79   72.7  100.0       0   66   1.0065   19.6   PL2
2021-01-09  16:46:00  31.59   72.7  100.0       0   66   1.0100   20.1   PL2
2021-01-09  16:46:00  32.22   69.8  100.0       0   66   0.9191   20.3   PL2
2021-01-09  16:46:00  31.46   75.2  100.0       0   65   0.9537   19.6   PL2
2021-01-09  16:46:00  31.17   76.7  100.0       0   65   0.9808   20.1   PL2
2021-01-09  16:46:00  31.48   74.8  100.0       0   67   0.9708   20.0   PL2
2021-01-09  16:46:00  32.10   71.2  100.0       0   66   0.9128   19.5   PL2
2021-01-09  16:46:00  31.95   72.6  100.0       0   65   0.9956   20.6   PL2
2021-01-09  16:46:01  31.22   81.2  100.0       0   66   0.9430   19.7   PL2
2021-01-09  16:46:01  31.38   75.4  100.0       0   65   0.9165   20.1   PL2
2021-01-09  16:46:01  32.05   71.2  100.0       0   66   0.9207   19.5   PL2
2021-01-09  16:46:01  31.80   74.3  100.0       0   65   0.9214   20.1   PL2
2021-01-09  16:46:01  31.93   69.2  100.0       0   64   1.0122   19.8   PL2
2021-01-09  16:46:01  32.47   69.0  100.0       0   65   1.0597   19.9   PL2
2021-01-09  16:46:01  32.23   68.8  100.0       0   66   1.0710   20.3   PL2
2021-01-09  16:46:01  32.01   68.5  100.0       0   64   0.9357   19.9   PL2
2021-01-09  16:46:02  32.24   68.1  100.0       0   64   1.0417   19.7   PL2
2021-01-09  16:46:02  31.93   70.7  100.0       0   65   0.8899   20.0   PL2
2021-01-09  16:46:02  31.67   71.0  100.0       0   65   1.0403   20.4   PL2
2021-01-09  16:46:02  31.42   75.2  100.0       0   66   0.9457   20.2   PL2
2021-01-09  16:46:02  32.44   68.5  100.0       0   67   1.0040   20.1   PL2
2021-01-09  16:46:02  32.20   68.3  100.0       0   65   0.9741   19.5   PL2
2021-01-09  16:46:02  32.35   68.9  100.0       0   66   1.0171   19.6   PL2
2021-01-09  16:46:02  30.46   80.5  100.0       0   66   0.8931   20.5   PL2
2021-01-09  16:46:03  30.42   84.7  100.0       0   65   1.1711   20.2   PL2
2021-01-09  16:46:03  31.84   71.3  100.0       0   67   1.0358   19.7   PL2
2021-01-09  16:46:03  31.89   72.7  100.0       0   66   0.9207   20.2   PL2
2021-01-09  16:46:03  31.42   75.3  100.0       0   66   0.9894   19.4   PL2
